,keyword,sentence_ID,xlm_K-rank,xlm_K-sim,xlm_S-rank,xlm_S-sim,dist_K-rank,dist_K-sim,dist_S-rank,dist_S-sim
710,multa,5c54e9a_71,15000,0.0,1163,0.5,15000,0.0,1069,0.37
711,multa,5c54e9a_80,8721,0.28,1042,0.5,15000,0.0,3706,0.24
712,multa,5c54e9a_82,15000,0.0,259,0.59,15000,0.0,99,0.61
713,multa,5ca494a_80,15000,0.0,2,1.0,15000,0.0,2,1.0
714,multa,5ca494a_91,15000,0.0,662,0.54,15000,0.0,346,0.49
715,multa,5ca494a_92,15000,0.0,2429,0.43,15000,0.0,267,0.52
716,multa,5ca494a_94,15000,0.0,5131,0.36,15000,0.0,1182,0.36
717,multa,5ca494a_96,15000,0.0,1972,0.45,15000,0.0,1285,0.35
718,multa,5ca494a_97,15000,0.0,5121,0.36,15000,0.0,600,0.43
719,multa,5ca494a_98,15000,0.0,582,0.55,15000,0.0,523,0.44
720,multa,5ca494a_126,15000,0.0,850,0.52,15000,0.0,973,0.38
721,multa,5ca494a_156,15000,0.0,165,0.61,15000,0.0,2031,0.31
722,multa,5eb3387_122,15000,0.0,1989,0.45,15000,0.0,2901,0.27
723,multa,5eb3387_136,15000,0.0,3225,0.41,15000,0.0,3516,0.25
724,multa,5eb3387_148,15000,0.0,3453,0.4,15000,0.0,15000,0.0
725,multa,5eb3387_162,15000,0.0,428,0.57,15000,0.0,2300,0.29
726,multa,5eb3387_164,15000,0.0,66,0.66,15000,0.0,916,0.38
727,multa,5eb3387_165,15000,0.0,3198,0.41,15000,0.0,1749,0.32
728,multa,5eb3387_167,15000,0.0,2681,0.42,15000,0.0,698,0.41
729,multa,5f9ee58_557,15000,0.0,261,0.59,15000,0.0,76,0.62
730,multa,5f9ee58_566,15000,0.0,3843,0.39,15000,0.0,15000,0.0
731,multa,5f9ee58_568,15000,0.0,504,0.55,15000,0.0,1364,0.34
732,multa,5f9ee58_571,15000,0.0,6533,0.34,15000,0.0,4815,0.21
733,multa,644a9bb_88,15000,0.0,598,0.55,15000,0.0,2066,0.31
734,multa,644a9bb_89,15000,0.0,1608,0.47,15000,0.0,1459,0.34
735,multa,644a9bb_90,15000,0.0,1889,0.46,15000,0.0,2606,0.28
736,multa,644a9bb_91,15000,0.0,6184,0.34,15000,0.0,4372,0.22
737,multa,644a9bb_92,15000,0.0,3179,0.41,15000,0.0,3146,0.26
738,multa,644a9bb_93,15000,0.0,5532,0.36,15000,0.0,1191,0.36
739,multa,644a9bb_112,15000,0.0,14,0.72,15000,0.0,39,0.65
740,multa,644a9bb_113,15000,0.0,664,0.54,15000,0.0,853,0.39
